Starsza pani musi zniknąć;Duplex;2003;5/10
Heca w zoo;Zookeeper;2011;5/10
Sylwester w Nowym Jorku;New Year's Eve;2011;5/10
Debiutanci;Beginners;2010;7/10
Niebezpieczna metoda;A Dangerous Method;2011;6/10
Lepiej być nie może;As Good as It Gets;1997;7/10
Dziennik zakrapiany rumem;The Rum Diary;2011;5/10
Johnny English Reaktywacja;Johnny English Reborn;2011;4/10
Wyścig z czasem;In Time;2011;6/10
Tożsamość;Unknown;2011;6/10
Skeczu z papugą nie będzie;Parrot Sketch Not Included: Twenty Years of Monty Python;1989;7/10
Dziewczyna z tatuażem;The Girl with the Dragon Tattoo;2011;7/10
Jutro będzie futro;Hot Tub Time Machine;2010;5/10
Boski chillout;Pineapple Express;2008;6/10
Służące;The Help;2011;6/10
Sherlock Holmes: Gra cieni;Sherlock Holmes: A Game of Shadows;2011;7/10
Weronika postanawia umrzeć;Veronika Decides to Die;2009;6/10
Szpieg;Tinker Tailor Soldier Spy;2011;7/10
Czwarty stopień;The Fourth Kind;2009;5/10
Była sobie dziewczyna;An Education;2009;7/10
Stary, kocham cię;I Love You, Man;2009;5/10
Chciwość;Margin Call;2011;6/10
Dziękujemy za palenie;Thank You for Smoking;2005;5/10
Bez smyczy;Hall Pass;2011;3/10
Dom snów;Dream House;2011;6/10
Super 8;;2011;5/10
Penelope;;2006;5/10
Zgon na pogrzebie;Death at a Funeral;2007;6/10
Contagion - Epidemia strachu;Contagion;2011;6/10
Pół na pół;50/50;2011;5/10
Listy do M.;Listy do M.;2011;6/10
Dług;The Debt;2010;6/10
Co się zdarzyło w Las Vegas;What Happens in Vegas;2008;5/10
Opowieści na dobranoc;Bedtime Stories;2008;4/10
Wszystko, co dobre;All Good Things;2010;6/10
Projekt dziecko, czyli ojciec potrzebny od zaraz;;2010;2/10
Sztuka dorastania;The Art of Getting By;2011;6/10
Saga "Zmierzch": Przed świtem. Część 1;The Twilight Saga: Breaking Dawn - Part 1;2011;5/10
Twój na zawsze;Remember Me;2010;5/10
Miłość i inne używki;Love & Other Drugs;2010;6/10
To tylko seks;Friends with Benefits;2011;4/10
Niezniszczalni;The Expendables;2010;3/10
Łatwa dziewczyna;Easy A;2010;7/10
Zamiana ciał;The Change-Up;2011;5/10
Wszyscy wygrywają;Win Win;2011;6/10
Druhny;Bridesmaids;2011;6/10
O północy w Paryżu;Midnight in Paris;2011;7/10
Dziewczyna z marzeniami;Whip It;2009;6/10
Jane Eyre;;2011;7/10
Szefowie wrogowie;Horrible Bosses;2011;6/10
Wyjście przez sklep z pamiątkami;Exit Through the Gift Shop;2010;7/10
Kocha, lubi, szanuje;Crazy, Stupid, Love.;2011;7/10
Całkiem zabawna historia;It's Kind of a Funny Story;2010;7/10
Pozwól mi wejść;Let Me In;2010;6/10
Transformers 3;Transformers: Dark of the Moon;2011;4/10
Harry Potter i Insygnia Śmierci: Część II;Harry Potter and the Deathly Hallows: Part 2;2011;7/10
Och, życie;Life as We Know It;2010;4/10
Miłość na zamówienie;Failure to Launch;2006;5/10
Tak to się teraz robi;The Switch;2010;6/10
Kac Vegas w Bangkoku;The Hangover Part II;2011;5/10
Grzeczny i grzeszny;Youth in Revolt;2009;5/10
Kod nieśmiertelności;Source Code;2011;6/10
Sex Story;No Strings Attached;2011;6/10
Duże dzieci;Grown Ups;2010;6/10
Tajemnica morderstwa na Manhattanie;Manhattan Murder Mystery;1993;7/10
Mr. Brooks;Mr. Brooks;2007;6/10
Nożownik;The Hunted;2003;7/10
Dom nad jeziorem;The Lake House;2006;6/10
Trick;Trick;2010;6/10
Urodzeni mordercy;Natural Born Killers;1994;6/10
Patrol;The Guardian;2006;6/10
Karmazynowy przypływ;Crimson Tide;1995;6/10
Wzgórze Rozdartych Serc;Heartbreak Ridge;1986;7/10
Wejście Smoka;Enter the Dragon;1973;7/10
Parszywa dwunastka;The Dirty Dozen;1967;7/10
Cześć, Tereska;Cześć, Tereska;2001;7/10
Nowszy model;The Rebound;2009;6/10
Kate i Leopold;Kate & Leopold;2001;7/10
Dwa tygodnie na miłość;Two Weeks Notice;2002;6/10
Czego pragną kobiety;What Women Want;2000;6/10
Francuski pocałunek;French Kiss;1995;6/10
Na pewno, być może;Definitely, Maybe;2008;4/10
Jak stracić chłopaka w 10 dni;How to Lose a Guy in 10 Days;2003;5/10
Jak w niebie;Just Like Heaven;2005;5/10
Zupełnie jak miłość;A Lot Like Love;2005;6/10
Pretty Woman;Pretty Woman;1990;6/10
Zanim odejdą wody;Due Date;2010;7/10
Wybuchowa para;Knight and Day;2010;4/10
Ja cię kocham, a ty z nim;Dan in Real Life;2007;7/10
Nocna randka;Date Night;2010;4/10
Solista;The Soloist;2009;6/10
500 dni miłości;(500Days of Summer;2009;8/10
Piraci z Karaibów: Na nieznanych wodach;Pirates of the Caribbean: On Stranger Tides;2011;5/10
Green Zone;Green Zone;2010;6/10
Piknik pod Wiszącą Skałą;Picnic at Hanging Rock;1975;7/10
Kawa i papierosy;Coffee and Cigarettes;2003;8/10
5x2 pięć razy we dwoje;5x2;2004;5/10
Ghost Dog: Droga samuraja;Ghost Dog: The Way of the Samurai;1999;7/10
Zakochana Jane;Becoming Jane;2007;7/10
Dorian Gray;;2009;5/10
Obława;Takedown;2000;7/10
Pręgi;Pręgi;2004;7/10
Prawnik z Lincolna;The Lincoln Lawyer;2011;7/10
Greenberg;;2010;4/10
Władcy umysłów;The Adjustment Bureau;2011;5/10
Bardzo długie zaręczyny;Un Long dimanche de fiançailles;2004;7/10
Manhattan;;1979;7/10
Ukryte;Caché;2005;6/10
Ruiny;The Ruins;2008;2/10
Full Metal Jacket;;1987;7/10
Paintball;;2009;1/10
Job, czyli ostatnia szara komórka;Job, czyli ostatnia szara komórka;2006;2/10
Kontrolerzy;Kontroll;2003;7/10
Człowiek, który gapił się na kozy;The Men Who Stare at Goats;2009;4/10
Zabójcza broń 3;Lethal Weapon 3;1992;7/10
Zabójcza broń 2;Lethal Weapon 2;1989;7/10
Zabójcza broń;Lethal Weapon;1987;7/10
Zabójcza broń 4;Lethal Weapon 4;1998;7/10
Stara baśń. Kiedy słońce było bogiem;;2003;2/10
Miłość i inne nieszczęścia;Love and Other Disasters;2006;6/10
Silent Hill;;2006;5/10
SEXiPIStOLS;Bandidas;2006;4/10
Łowcy umysłów;Mindhunters;2004;6/10
